21623.017.000.00.00;BROMELIA P17 VRIESEA GIGANTEA NOVA      
07605.023.053.00.00;FICUS P23 ELASTICA BURGUNDY 3 HT        
21624.017.000.00.00;BROMELIA P17 VRIESEA TROPICAL NIGHT     
21622.017.000.00.00;BROMELIA P17 VRIESEA RED CHESTNUT       
00564.014.000.00.00;FICUS P14 BENJAMINA VARIEGATA           
21619.017.000.00.00;BROMELIA VARIADO P17                    
07800.024.000.00.00;MONSTERA ADANSONII P24                  
03053.017.000.00.99;FICUS P17 TRIANGULARIS VARIEGATA        
21598.080.000.00.08;LIMONIUM TINGIDO 080 CM ROXO            
21598.070.000.00.08;LIMONIUM TINGIDO 070 CM ROXO            
21598.060.000.00.08;LIMONIUM TINGIDO 060 CM ROXO            
21598.050.000.00.08;LIMONIUM TINGIDO 050 CM ROXO            
21598.040.000.00.08;LIMONIUM TINGIDO 040 CM ROXO            
00716.014.000.02.00;CYMBIDIUM P14 MIN 2 HT                  
00716.014.000.01.00;CYMBIDIUM P14 MIN 1 HT                  
21066.027.000.00.00;BROMELIA P27 VRIESEA FOSTERIANA         
21065.027.000.00.00;BROMELIA P27 VRIESEA HIEROGLYPHICA      
21577.080.000.00.00;STATICE SUPERTA BLUE 080 CM             
21577.070.000.00.00;STATICE SUPERTA BLUE 070 CM             
21577.060.000.00.00;STATICE SUPERTA BLUE 060 CM             
21577.050.000.00.00;STATICE SUPERTA BLUE 050 CM             
21577.040.000.00.00;STATICE SUPERTA BLUE 040 CM             
21576.080.000.00.00;STATICE SUPERTA PURPLE 080 CM           
21576.070.000.00.00;STATICE SUPERTA PURPLE 070 CM           
21576.060.000.00.00;STATICE SUPERTA PURPLE 060 CM           
21576.050.000.00.00;STATICE SUPERTA PURPLE 050 CM           
21576.040.000.00.00;STATICE SUPERTA PURPLE 040 CM           
21575.080.000.00.00;STATICE SUPERTA PINK 080 CM             
21575.070.000.00.00;STATICE SUPERTA PINK 070 CM             
21575.060.000.00.00;STATICE SUPERTA PINK 060 CM             
21575.050.000.00.00;STATICE SUPERTA PINK 050 CM             
21575.040.000.00.00;STATICE SUPERTA PINK 040 CM             
21574.080.000.00.00;STATICE SUPERTA DARK BLUE 080 CM        
21574.070.000.00.00;STATICE SUPERTA DARK BLUE 070 CM        
21574.060.000.00.00;STATICE SUPERTA DARK BLUE 060 CM        
21574.050.000.00.00;STATICE SUPERTA DARK BLUE 050 CM        
21574.040.000.00.00;STATICE SUPERTA DARK BLUE 040 CM        
21573.080.000.00.00;STATICE SUPERTA VERMILION 080 CM        
21573.070.000.00.00;STATICE SUPERTA VERMILION 070 CM        
21573.060.000.00.00;STATICE SUPERTA VERMILION 060 CM        
